Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
17:41:21,582;384,436622;0,113078;0,117811;0,167413;-0,356695;-2,66395;-0,444574;24,090338
17:41:21,592;387,265507;0,112553;0,134612;0,172006;-0,028542;-2,401452;-0,103313;24,037828
17:41:21,602;389,622912;0,108877;0,131462;0,16925;-0,343569;-2,782074;-0,444574;24,155974
17:41:21,612;386,794027;0,108877;0,128312;0,174762;-0,028542;-2,467076;-0,16894;24,064083
17:41:21,622;385,851065;0,105727;0,120436;0,172925;-0,317317;-2,768949;-0,444574;24,142847
17:41:21,632;386,322546;0,114128;0,127261;0,172006;-0,054794;-2,296452;-0,142689;24,07721
17:41:21,642;388,67995;0,110452;0,124111;0,16925;-0,382948;-2,782074;-0,444574;24,050956
17:41:21,652;385,851065;0,108352;0,118336;0,172006;-0,054794;-2,348952;-0,116438;24,090338
17:41:21,662;387,265507;0,109927;0,124111;0,172006;-0,330443;-2,690199;-0,392072;24,050956
17:41:21,672;386,794027;0,113603;0,129362;0,170169;-0,041668;-2,257078;-0,063936;24,037828
17:41:21,682;386,322546;0,109402;0,126211;0,166494;-0,330443;-2,782074;-0,444574;24,07721
17:41:21,692;387,736988;0,112553;0,123061;0,163738;-0,054794;-2,427701;-0,142689;24,037828
17:41:21,702;388,67995;0,104677;0,115186;0,170169;-0,304191;-2,690199;-0,523326;24,142847
17:41:21,712;388,208469;0,112028;0,123586;0,167413;-0,107299;-2,493326;-0,116438;24,050956
17:41:21,722;386,794027;0,108352;0,124111;0,170169;-0,317317;-2,690199;-0,444574;24,155974
17:41:21,732;387,265507;0,110977;0,128837;0,166494;-0,041668;-2,348952;-0,103313;24,050956
17:41:21,742;385,379584;0,105727;0,119386;0,166494;-0,291065;-2,703324;-0,457699;24,12972
17:41:21,752;386,322546;0,114653;0,122536;0,168331;-0,054794;-2,467076;-0,077062;24,07721
17:41:21,762;385,379584;0,112553;0,122536;0,166494;-0,291065;-2,795199;-0,392072;24,090338
17:41:21,772;387,265507;0,108352;0,126211;0,172925;-0,054794;-2,309577;-0,195191;24,07721
17:41:21,782;384,436622;0,110977;0,120961;0,166494;-0,291065;-2,782074;-0,470825;24,07721
17:41:21,792;385,379584;0,115178;0,127787;0,171087;-0,015416;-2,348952;-0,129563;24,142847
17:41:21,802;386,322546;0,114128;0,126211;0,167413;-0,291065;-2,795199;-0,48395;24,116592
